hotel,country,total_reservas,cancelamentos,taxa_bruta,log_reservas,estimativa_bayesiana,erro_padrao,shrinkage,ic_inferior,ic_superior
City Hotel,SYR,2,0,0,0.3010299956639812,0.2278694770330245,0.10779501384749474,0.2278694770330245,0.016591249891934806,0.4391477041741142
City Hotel,TGO,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,THA,53,18,0.33962264150943394,1.724275869600789,0.32430848928241374,0.05755925353876301,0.015314152227020206,0.21149235234643823,0.4371246262183892
City Hotel,TJK,9,8,0.8888888888888888,0.9542425094393249,0.5171365299167832,0.10619587058638086,0.3717523589721057,0.3089926235674767,0.7252804362660896
City Hotel,TMP,3,1,0.3333333333333333,0.47712125471966244,0.27570349459811716,0.11122499612477742,0.057629838735216155,0.05770250219355344,0.4937044870026809
City Hotel,TUN,38,18,0.47368421052631576,1.5797835966168101,0.41942873576286155,0.06900309239916849,0.054255474763454214,0.2841826746604913,0.5546747968652318
City Hotel,TUR,225,95,0.4222222222222222,2.3521825181113627,0.41341058538930847,0.031910971545668125,0.00881163683291375,0.350865081159799,0.47595608961881797
City Hotel,TWN,39,14,0.358974358974359,1.591064607026499,0.33467096464983925,0.06534824855907763,0.024303394324519723,0.20658839747404711,0.4627535318256314
City Hotel,TZA,5,3,0.6,0.6989700043360189,0.355551545596722,0.11238396386218708,0.244448454403278,0.1352789764268353,0.5758241147666087
City Hotel,UGA,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,UKR,45,20,0.4444444444444444,1.6532125137753437,0.4033301627329125,0.06433582769255773,0.04111428171153192,0.27723194045549937,0.5294283850103256
City Hotel,UMI,1,1,1,0,0.3146945873504639,0.12349042568635764,0.6853054126495361,0.07265335300520293,0.5567358216957249
City Hotel,URY,24,6,0.25,1.380211241711606,0.2544398001936716,0.07146641459866448,0.0044398001936715725,0.11436562758028918,0.39451397280705397
City Hotel,USA,1618,429,0.26514215080346104,3.2089785172762535,0.26512124906397805,0.010929096119987868,2.0901739482992454e-5,0.24370022066880181,0.2865422774591543
City Hotel,UZB,3,2,0.6666666666666666,0.47712125471966244,0.3376541831698971,0.11770679513107006,0.32901248349676954,0.10694886471299977,0.5683595016267944
City Hotel,VEN,23,11,0.4782608695652174,1.3617278360175928,0.399823525757919,0.0814832500097914,0.07843734380729839,0.2401163557387279,0.5595306957771101
City Hotel,VGB,1,1,1,0,0.3146945873504639,0.12349042568635764,0.6853054126495361,0.07265335300520293,0.5567358216957249
City Hotel,VNM,6,2,0.3333333333333333,0.7781512503836436,0.28473550194999614,0.10314827192229438,0.048597831383337176,0.08256488898229916,0.4869061149176931
City Hotel,ZAF,62,26,0.41935483870967744,1.792391689498254,0.39193022340022443,0.0563170743427418,0.027424615309453004,0.2815487576884505,0.5023116891119983
City Hotel,ZMB,1,1,1,0,0.3146945873504639,0.12349042568635764,0.6853054126495361,0.07265335300520293,0.5567358216957249
City Hotel,ZWE,2,2,1,0.3010299956639812,0.3599535536738513,0.1233500166669585,0.6400464463261487,0.11818752100661264,0.6017195863410899
Resort Hotel,AGO,24,7,0.2916666666666667,1.380211241711606,0.28136359221590096,0.07378306148594777,0.010303074450765726,0.13674879170344334,0.4259783927283586
Resort Hotel,ALB,3,1,0.3333333333333333,0.47712125471966244,0.27570349459811716,0.11122499612477742,0.057629838735216155,0.05770250219355344,0.4937044870026809
Resort Hotel,AND,5,3,0.6,0.6989700043360189,0.355551545596722,0.11238396386218708,0.244448454403278,0.1352789764268353,0.5758241147666087
Resort Hotel,ARE,11,8,0.7272727272727273,1.0413926851582251,0.4742950668032828,0.10162717909777914,0.2529776604694445,0.2751057957716357,0.67348433783493
Resort Hotel,ARG,57,9,0.15789473684210525,1.7558748556724915,0.1775026817739005,0.04562270515402342,0.01960794493179524,0.0880821796720146,0.2669231838757864
Resort Hotel,ARM,2,0,0,0.3010299956639812,0.2278694770330245,0.10779501384749474,0.2278694770330245,0.016591249891934806,0.4391477041741142
Resort Hotel,AUS,87,15,0.1724137931034483,1.9395192526186185,0.18424231568104377,0.038740696878066014,0.01182852257759548,0.10831054980003438,0.26017408156205313
Resort Hotel,AUT,210,34,0.1619047619047619,2.322219294733919,0.1678321062545177,0.02501799294616907,0.005927344349755781,0.11879684008002632,0.21686737242900905
Resort Hotel,AZE,3,1,0.3333333333333333,0.47712125471966244,0.27570349459811716,0.11122499612477742,0.057629838735216155,0.05770250219355344,0.4937044870026809
Resort Hotel,BDI,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
Resort Hotel,BEL,448,59,0.13169642857142858,2.651278013998144,0.1354255037737019,0.015934343003373288,0.0037290752022733353,0.10419419148709026,0.16665681606031355
Resort Hotel,BGR,5,0,0,0.6989700043360189,0.19018822324926635,0.09213885732654617,0.19018822324926635,0.009596062889235868,0.3707803836092968
Resort Hotel,BHR,1,1,1,0,0.3146945873504639,0.12349042568635764,0.6853054126495361,0.07265335300520293,0.5567358216957249
Resort Hotel,BHS,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
Resort Hotel,BIH,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
Resort Hotel,BLR,7,3,0.42857142857142855,0.8450980400142568,0.32024682616602707,0.1039604469924927,0.10832460240540148,0.11648435006074137,0.5240093022713128
Resort Hotel,BRA,430,101,0.23488372093023255,2.6334684555795866,0.23570413238837573,0.020162434091647044,8.204114581431832e-4,0.19618576156874754,0.27522250320800395
Resort Hotel,BWA,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
Resort Hotel,CAF,3,0,0,0.47712125471966244,0.21375280602633726,0.10203720066889613,0.21375280602633726,0.013759892715300842,0.4137457193373737
